title,author,type,audience,genre,faust_numbers,isbns,n_loans,top10k
Hun skal leve,Anders Roslund,Bog,voksenmaterialer,"krimi,politiromaner",47191874;61458417;05710200,,5836,1075
Tor og mor,Kirsten Ahlburg,Bog,børnematerialer,skønlitteratur,29493979,,5801,1076
Gangster farmor,David Walliams,Bog,børnematerialer,"humor,sjove bøger",55143331,99122676644805763,5804,1077
Fri agent,John Le Carré,Bog,voksenmaterialer,spænding,47212421,,5800,1078
Mors dreng,Adrian Hughes,Bog,"alment niveau,voksenmaterialer","slægtshistorie,erindringer",62991895,99124292547805763,5799,1079
Den fremmede gæst,Lisa Jewell,Bog,voksenmaterialer,spænding,54145667;27492460;29128499,,6087,1080
Kollaps,Thomas Rathsack,Bog,voksenmaterialer,spænding,38803115;134878924,99122690967505763,5805,1081
Det første juletræ,Elly Griffiths,Bog,voksenmaterialer,krimi,38203525,,5790,1082
Ti ål og en tå,Rikke Mølbak,Bog,børnematerialer,skønlitteratur,28816286,,5783,1083
"Anna, Elsa og den hemmelige flod",Andria Warmflash Rosenbaum,Billedbog,børnematerialer,eventyr,47559073,,5782,1084
Da Audrey Wilde forsvandt,Eve Chase,Bog,voksenmaterialer,samfundsskildringer,46919386;39215381,,5789,1085
Den dag Leopold blev sur,,Billedbog,børnematerialer,skønlitteratur,28322887;53170617,99122727881805763,5927,1086
Turen går til Kroatien,Tom Nørgaard,Bog,"alment niveau,voksenmaterialer",kroatien,46422511;51759796;136816993,,7694,1087
En træhule på 13 etager,Andy Griffiths,Bog,børnematerialer,sjove bøger,52610087,,5758,1088
Alle mine morgener på jorden,Troels Kløvedal,Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,barndomserindringer,erindringer",53766420,99121912189005763,5756,1089
Varieté,Søren Pilmark,Bog,voksenmaterialer,historiske romaner,61508341,99124092122305763;99123907974405763,5758,1090
Madro,"Anne Gaardmand,Morten Elsøe",Bog,"alment niveau,voksenmaterialer",ernæring,48369332,,5750,1091
Vovserne redder Adventure City,,Billedbog,børnematerialer,skønlitteratur,61469605,99123896455805763,5749,1092
Den store bog om Paw Patrol,Mary Tillworth,Billedbog,børnematerialer,skønlitteratur,38660101,99123667309905763,5751,1093
Kald mig prinsesse,Sara Blædel,Bog,voksenmaterialer,krimi,29927367;25700872;29635986;26276594;28619650,99122869756805763,8118,1094
Lilys længsel,Lisa Kleypas,Bog,voksenmaterialer,historiske romaner,46313151,,5745,1095
Den forkerte mor,Michel Bussi (f. 1965),Bog,voksenmaterialer,krimi,39309483,,5735,1096
Kvinden de meldte savnet,Sara Blædel,Bog,voksenmaterialer,krimi,51320352;52284120,99122732016105763;99122263771305763;99121915193205763,9815,1097
Haabet,Mich Vraa,Bog,voksenmaterialer,historiske romaner,52521602;53251536;46429125;50747158;45863905,99122719975205763,6646,1098
Min historie,Michelle Obama,Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,erindringer",54945027;52249945;26488974;53448089;20732962;28977719;29922780;48320031;05342090;29922217;135622249;38467069;45843378;127007713;26605202,99122671675905763;99122097122305763;99123640952005763;99122916480205763;99123455716005763,6465,1099
Betty vil også med,Alberte Winding,Billedbog,børnematerialer,skønlitteratur,50520765,,5706,1100
Station Z,Jakob Melander,Bog,voksenmaterialer,skønlitteratur,62783524,,5703,1101
Vildheks. Bind 2,Lene Kaaberbøl,Bog,børnematerialer,fantasy,28693788;38283839,,5937,1102
Når børn og unge får angst,Peter Lund Madsen,Bog,"alment niveau,voksenmaterialer",nervøst betingede adfærdsforstyrrelser og tilstande,38936581,,5690,1103
"Turen går til Toscana, Umbrien & Marche",Preben Hansen (f. 1956),Bog,"alment niveau,voksenmaterialer",italien,46772016;52239907;29684618;27765114,99122420588005763,7790,1104
Pippi,,Billedbog,børnematerialer,"gå på opdagelse,sjove bøger",48984703,,5684,1105
Jord og hjerte,Vibeke Marx,Bog,voksenmaterialer,"historiske romaner,slægtsromaner,udviklingsromaner",47045665,,5682,1106
