title,author,type,audience,genre,faust_numbers,isbns,n_loans
Ninja Kid - fra nørd til ninja!,Anh Do (f. 1977),Bog,børnematerialer,"sjove bøger,spænding",61698949,<NA>,2887
To nemme uger med Sense,"Suzy Wengel,Jesper Wengel",Bog,"alment niveau,voksenmaterialer",diætmadlavning,53086357;99122948528705763,<NA>,2887
Krigens arv,Wilbur A. Smith,Bog,voksenmaterialer,"historiske romaner,spænding",38943472;61674616,<NA>,2939
Hævn,Yrsa Sigurðardóttir,Bog,voksenmaterialer,krimi,53009824;48984835;51187768;53476805;27676391;28609663;29746672;62669497;50670368;99121938096405763;05841674;99122532229405763;99122789470005763;99122063564005763,<NA>,8278
Turen går til København,Tom Nørgaard,Bog,"alment niveau,voksenmaterialer",københavn,54133227;50918858;28796315;27702953;26738369;99122430041605763;99122460858305763,<NA>,3718
Synderen,Tess Gerritsen,Bog,voksenmaterialer,krimi,52721059;53951805,<NA>,2919
Kim Larsen,Jens Andersen (f. 1955),Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,barndomserindringer,erindringer",55136041;45944069;54114729;47417104;46366654;39075903,<NA>,5191
"Sov godt, Pajko!",Sissel Bøe,Billedbog,børnematerialer,skønlitteratur,28421737;99122084038605763,<NA>,2882
Iqbal Farooq i krise,Manu Sareen,Bog,børnematerialer,"sjove bøger,spænding",54076096,<NA>,2881
Den Gyldne Hest,Peter Ingemann (f. 1973),Bog,voksenmaterialer,"humor,kollektivromaner",61600132,<NA>,2880
Meyers grøn mad,Claus Meyer,Bog,"alment niveau,voksenmaterialer",råkost. vegetarisk mad,53589375,<NA>,2878
Dem der faldt i marts,Volker Kutscher,Bog,voksenmaterialer,"krimi,politiromaner",38640461,<NA>,2878
Cirkeline godnat,Hanne Hastrup,Billedbog,børnematerialer,skønlitteratur,29244472;52305144;50958078,<NA>,3441
Blodets bånd,Angela Marsons,Bog,voksenmaterialer,krimi,48857957;48959954;27494587;28868200;54088752;24872319;27390609;99122772240305763;99121996673505763;20883839;99122935330105763;04034023;25612450;99122820156505763;06716954;99121995398605763;99122461032905763;99122460095705763,<NA>,4934
En landsbyaffære,Julie Houston,Bog,voksenmaterialer,skønlitteratur,48548644,<NA>,2875
Den nordiske mands hævn,Sofie Jama (f. 1982),Bog,voksenmaterialer,skønlitteratur,48196004,<NA>,2875
Spis dig mæt & glad,Jane Faerber,Bog,"fagligt niveau,voksenmaterialer",diætmadlavning,29943346,<NA>,2875
Feje blade sammen op mod vinden,Christina Hesselholdt,Bog,voksenmaterialer,skønlitteratur,38789821,<NA>,2874
Kvinden på bænken,Anna Jansson,Bog,voksenmaterialer,skønlitteratur,62273593,<NA>,2874
Kålkogebogen,"Ulla Kidmose,Per Bendix Jeppesen",Bog,"alment niveau,voksenmaterialer",særlige retter,48718116;51963059;28458630;06741290;27810977,<NA>,3109
Tag gaden tilbage,"Sarah Engell,Sanne Munk Jensen",Bog,"børnematerialer,voksenmaterialer",skønlitteratur,46054636,<NA>,2873
Fra dette øjeblik,Melanie Harlow,Bog,voksenmaterialer,skønlitteratur,48510906,<NA>,2873
Urtid,Jeanette Varberg,Bog,"alment niveau,voksenmaterialer",norden og danmark i forhistorisk tid,61384081,<NA>,2872
Nekos sværd,Peter Gotthardt,Bog,børnematerialer,skønlitteratur,52187168,<NA>,2872
Drageherren. Bind 1,,Bog,børnematerialer,fantasy,25924657;26771307;99122459810805763__1,<NA>,2882
Strøm,Michael Holbek,Bog,voksenmaterialer,historiske romaner,134497866;29110069;61648763;46500385;25544188;99122956657105763,<NA>,3773
Søvn,C. L. Taylor,Bog,voksenmaterialer,krimi,47840635;39213885;46980883;24846555;51768485;50707032;52512468;54122098;28734786;99122391331305763;28894147;99122789317705763;99122865481005763;991000563599703861;99122627285805763,<NA>,4863
Op i læ,Kirsten Ahlburg,Bog,børnematerialer,skønlitteratur,46519841,<NA>,2870
Hæklede klude fra A til Ø,Gitte Gade,Bog,"alment niveau,voksenmaterialer",hækling. orkis. filering,52342252,<NA>,2869
Papirprinsessen,Erin Watt,Bog,voksenmaterialer,skønlitteratur,53188451,<NA>,2869
Rans vilje,Peder Frederik Jensen,Bog,voksenmaterialer,historiske romaner,135641472,<NA>,2866
Skye bliver stuntpilot,,Billedbog,børnematerialer,skønlitteratur,134490489,<NA>,2865
Mø er fin,Marie Duedahl,Bog,børnematerialer,sjove bøger,54862636,<NA>,2865
Barsk bagedyst,Rosie Banks,Bog,børnematerialer,eventyrlige fortællinger,55113300,<NA>,2863
Glimmerstranden,Rosie Banks,Bog,børnematerialer,eventyrlige fortællinger,50957853,<NA>,2861
Hårdt prøvet,Lee Child,Bog,voksenmaterialer,spænding,53994156,<NA>,2859
Det vi ikke siger,Ella Carey,Bog,voksenmaterialer,skønlitteratur,62157941,<NA>,2859
Hævntørst,Karin Slaughter,Bog,voksenmaterialer,krimi,51294602;51738063,<NA>,2948
Søs ser en ufo,Helle Dyhr Fauerholdt,Bog,børnematerialer,skønlitteratur,28396732;54230885,<NA>,3725
Sanitøren,Inger Gammelgaard Madsen,Bog,voksenmaterialer,"krimi,organiseret kriminalitet",53508308;53868541;46264312;99121993013405763,<NA>,2921
Pensionatet ved verdens ende,Camilla Davidsson,Bog,voksenmaterialer,skønlitteratur,46213645;61983783,<NA>,2880
Klassikere fra Sandnes Garn,Merete Norheim,Bog,"alment niveau,voksenmaterialer",strikning,48327133,<NA>,2858
Liv har lus,Kirsten Ahlburg,Bog,børnematerialer,skønlitteratur,53245730,<NA>,2858
Holgis og far,Rasmus Seebach,Billedbog,børnematerialer,skønlitteratur,38501674,<NA>,2858
Jorden under min mors fødder,Zeinab Mosawi (f. 1995),Bog,"alment niveau,voksenmaterialer",biografier af enkelte personer,61565159,<NA>,2857
Magda vil hellere lege,Anne Sofie Hammer (f. 1972-02-05),Bog,børnematerialer,skønlitteratur,48337503,<NA>,2855
Bo ser en mås,Marie Duedahl,Bog,børnematerialer,sjove bøger,38457608,<NA>,2854
"Drengen, der voksede op som hund","Bruce D. Perry,Maia Szalavitz",Bog,"fagligt niveau,voksenmaterialer",kriseterapi. samlivsterapi,46572246;28958137;99122858874105763;99122065148505763;99122795613605763;52157633,<NA>,3830
Det store stilehæfte : Beviset : Den tredje løgn,Agota Kristof,Bog,voksenmaterialer,skønlitteratur,52915686;20804092,<NA>,2858
Kun en kladde,Vibeke Marx,Bog,voksenmaterialer,skønlitteratur,48643299;48802834,<NA>,2909
Minder om fremtiden,Siri Hustvedt,Bog,voksenmaterialer,"biografiske romaner,dannelsesromaner",46399927,<NA>,2850
Vandreture i Danmark,Torben Gang Rasmussen,Bog,"alment niveau,voksenmaterialer",rejsehåndbøger,53025242;25035313;22416723;99122908621205763,<NA>,3834
Varieté - Eva og Anna,Søren Pilmark,Bog,voksenmaterialer,historiske romaner,134911433,<NA>,2849
Monark og menneske,Thomas Larsen (f. 1964),Bog,"alment niveau,voksenmaterialer",biografier af enkelte personer,61552294,<NA>,2849
Det sidste gidsel,"Henrik Thomsen (f. 1958),Ole Sønnichsen",Bog,"alment niveau,voksenmaterialer",kuwaits historie,48709559;22764330;99123486070505763;22793934;99122053467005763,<NA>,2852
De bortførte piger,Mary Lynn Bracht,Bog,voksenmaterialer,skønlitteratur,53978673;61544127,<NA>,2948
Det største eventyr,Nora Roberts,Bog,voksenmaterialer,spænding,53708927;99122734510405763;61664939,<NA>,2852
Sofia den første,Cathy Hapka,Billedbog,børnematerialer,skønlitteratur,50754529;51921232,<NA>,3951
Gå langt!,Gitte Holtze,Bog,"alment niveau,voksenmaterialer",friluftsliv,47822416,<NA>,2846
Grøn mad,Louisa Lorang,Bog,"alment niveau,voksenmaterialer",råkost. vegetarisk mad,38486721;25224310;99123924534805763;99121966018605763;99122594718005763,<NA>,2869
Rotten,Sebastian Klein,Bog,"folkeskoleniveau,børnematerialer",gnavere,53103707;38684159;20853166;05937965;21783099;99121936783705763;1916885;99122136852705763,<NA>,2896
Drømmedalen,Rosie Banks,Bog,børnematerialer,eventyrlige fortællinger,51267532,<NA>,2844
Nattens blomst,Nillou Zoey Johannsen (f. 1979),Bog,voksenmaterialer,udviklingsromaner,61432094;99123888299205763,<NA>,2844
Krukke-køkkenhaven,Claus Dalby,Bog,"alment niveau,voksenmaterialer",køkkenhaven,38934791;99123779115205763,<NA>,2844
Byen og havet,Keld Conradsen,Bog,voksenmaterialer,historiske romaner,62937173;135118656,<NA>,2859
Vuggesang,Leïla Slimani (f. 1981),Bog,voksenmaterialer,domestic noir,53975461,<NA>,2840
Svar hvis du kan høre mig,Ninni Schulman,Bog,voksenmaterialer,krimi,51016246;62364084;51557654,<NA>,3011
Ea 3.a - må jeg være med?,Puk Krogsøe,Bog,børnematerialer,skønlitteratur,53775993,<NA>,2839
Frihedens pris - en kort historie om menneskehjernen,Peter Lund Madsen,Bog,"alment niveau,voksenmaterialer",nervefysiologi,54166273,<NA>,2839
Uglen dræber kun om natten,Samuel Bjørk (f. 1969),Bog,voksenmaterialer,"krimi,politiromaner",52228441;52978890;48817971,<NA>,3094
Carl er glad,Ida Jessen (f. 1964),Billedbog,børnematerialer,skønlitteratur,46211286,<NA>,2838
Dyrenes rekordbog,"Katharina Vestre (f. 1992),Linnea Vestre",Bog,"folkeskoleniveau,børnematerialer",værker af blandet indhold,39583356;25368746,<NA>,2998
Huset på stranden,Sarah Jio,Bog,voksenmaterialer,historiske romaner,135882305,<NA>,2836
Turen går til England & Wales,"Kim Wiesener,Kristoffer Flakstad",Bog,"alment niveau,voksenmaterialer",england,47917816;52236754;29375801;99122360261705763,<NA>,4134
Ud og stjæle heste,Per Petterson,Bog,voksenmaterialer,skønlitteratur,27317812;25574486;27789951;26651522;45225895;99122739709605763;45225666,<NA>,4106
"Løb, Mik!",Maria Rørbæk,Bog,børnematerialer,skønlitteratur,53537758,<NA>,2835
Tættere end man tror,Brad Parks,Bog,voksenmaterialer,spænding,47441048,<NA>,2835
Slagteren i Liseleje,Ane Riel,Bog,voksenmaterialer,humor,50673227;46955234;99122917999405763;99122950486205763,<NA>,3719
After. Del 4,Anna Todd,Bog,voksenmaterialer,skønlitteratur,52173787,<NA>,2834
Kønslig omgang,Susanne Staun,Bog,voksenmaterialer,krimi,47853265,<NA>,2833
Døde løver,Mick Herron (f. 1963),Bog,voksenmaterialer,spænding,48287425,<NA>,2833
Berlins tavse barn,Ella Carey,Bog,voksenmaterialer,skønlitteratur,62691999,<NA>,2833
Vinterlukket,Jørn Lier Horst,Bog,voksenmaterialer,"krimi,politiromaner",29562679;54108133;99122553598405763,<NA>,4526
Jeppe scorer hat-trick,Jørn Jensen (f. 1946),Bog,børnematerialer,skønlitteratur,52480175,<NA>,2832
Forår i Bulderby,Astrid Lindgren,Billedbog,børnematerialer,landliv,38942484;51086732;01184199;06526586,<NA>,4760
Kolesterolkogebogen,Anette Harbech Olesen,Bog,"alment niveau,voksenmaterialer",diætmadlavning,51372751,<NA>,2831
Tyrannosaurus rex,"Núria Roca,Alejandro Algarra",Billedbog,"folkeskoleniveau,børnematerialer",palæontologi,46784472;46770935;24809307;23833603;99122448510805763,<NA>,6270
"Det spøger, Sigge",Lin Hallberg,Bog,børnematerialer,skønlitteratur,28664877,<NA>,2829
Rent personligt,Lee Child,Bog,voksenmaterialer,spænding,53314864,<NA>,2829
Dobbeltgængeren,Tess Gerritsen,Bog,voksenmaterialer,krimi,53008801;53467466;53841457;26067502;21236195;20146400;05048389;52024765;04302486;53734154;06211488;99122679288805763;99122967822005763;20196580;99121936923105763;10105552;99122749461705763;99122764625705763;99122806458705763;99122399711905763,<NA>,4467
Permakulturhaven,"Tycho Holcomb,Karoline Nolsø Aaen",Bog,"alment niveau,voksenmaterialer",gartneri og havebrug,53126944;99122475009405763,<NA>,2836
Skjult viden om dinosaurer,Sara Hurst,Billedbog,"førskoleniveau,folkeskoleniveau,børnematerialer","palæontologi,gå på opdagelse",38901516,<NA>,2828
En af os dræber,Karen M. McManus,Bog,"børnematerialer,voksenmaterialer","spænding,young adult",47647177;39231077;99123305668105763,<NA>,3267
Helle Erobreren,"Anders Morgenthaler,Marie Louise Tüxen",Bog,voksenmaterialer,humor,46415612,<NA>,2827
Find mig,André Aciman,Bog,voksenmaterialer,skønlitteratur,47316529,<NA>,2826
Lasse og politibilen,Johan Anderblad,Billedbog,børnematerialer,skønlitteratur,53520103,<NA>,2826
Alene i Paris,Jojo Moyes,Bog,voksenmaterialer,skønlitteratur,51962230;99122465154305763,<NA>,2826
Miks pil,Maria Rørbæk,Bog,børnematerialer,skønlitteratur,54152205,<NA>,2825
Hyggeaften,Suzanne Francis,Billedbog,børnematerialer,skønlitteratur,38759582,<NA>,2825
Fermentering,"Shane Peterson,Søren Ejlersen,Ditte Ingemann",Bog,"alment niveau,voksenmaterialer",konservering og opbevaring af næringsmidler,52037794,<NA>,2824
Skindød,Tess Gerritsen,Bog,voksenmaterialer,krimi,53652743;28373929;51164644;39392836;53029531;25744624,<NA>,5019
Tullias verden,Kerstin Ekman,Bog,voksenmaterialer,"biografiske romaner,historiske romaner",61717544;99123924529405763,<NA>,2824
Woodwalkers - Carags forvandling,Katja Brandis (f. 1970),Bog,børnematerialer,fantasy,53870430;99122757889605763,<NA>,2823
Nikkis dagbog - historier fra en ik' specielt hemmelig crushkatastrofe,Rachel Renée Russell,Bog,børnematerialer,"dagbøger,sjove bøger",48647928,<NA>,2822
Begravet i stilheden,Tove Alsterdal,Bog,voksenmaterialer,krimi,29474931,<NA>,2822
En tiger for en engel,Anne B. Ragde,Bog,voksenmaterialer,skønlitteratur,28965761;29838631;45257886;45868265,<NA>,2852
Brudeskibet,Jojo Moyes,Bog,voksenmaterialer,skønlitteratur,51794737;26138639;26677858;26411246,<NA>,4876
Frelseren fra Hvidovre,Kaspar Colling Nielsen (f. 1974),Bog,voksenmaterialer,samfundssatire,61542892,<NA>,2821
Fra asken,Lina Areklew (f. 1979),Bog,voksenmaterialer,skønlitteratur,62701897;05560632;07279930;06335500;05824877;99122613888005763,<NA>,2932
Jeppes kage,Barbro Lindgren,Billedbog,børnematerialer,skønlitteratur,50710734;05767199,<NA>,2872
Hertugindeprojektet,Sabrina Jeffries,Bog,voksenmaterialer,skønlitteratur,62454601,<NA>,2820
Cirkeline bliver til,Hanne Hastrup,Billedbog,børnematerialer,skønlitteratur,28966520;27723810;51616154;99122860807905763,<NA>,4973
Pariseren,Isabella Hammad,Bog,voksenmaterialer,slægtsromaner,46919823,<NA>,2819
"Karma, synkronicitet og mod",Rikke Hertz,Bog,"alment niveau,voksenmaterialer",praktisk etik i alm.,47172039;99123524521405763,<NA>,2821
Hitman. Bind 1,Peter Krogholm,Bog,børnematerialer,skønlitteratur,53975623,<NA>,2819
Efterfølgeren,Mikkel Birkegaard,Bog,voksenmaterialer,"krimi,krimiforfattere",135229377;26450845;99122323615305763,<NA>,2914
Det er ikke min traktor,Fiona Watt,Billedbog,børnematerialer,pegebøger,39335689,<NA>,2818
Lun,"Thea Rytter,Jeanette Bøgelund Bentzen",Bog,"alment niveau,voksenmaterialer",strikning,54495439,<NA>,2817
Sammen om sanserne,Ina Victoria Haller,Billedbog,børnematerialer,skønlitteratur,47450357;99123305456305763,<NA>,2818
Bro bro brille,Matthew Arlidge,Bog,voksenmaterialer,"krimi,politiromaner",53687474,<NA>,2817
Pigen fra Vestkysten,Claudia Westh Lonning (f. 1977),Bog,voksenmaterialer,historiske romaner,39172046;99123805146905763,<NA>,2818
Kys mig nu!,Line Kyed Knudsen,Bog,børnematerialer,skønlitteratur,29910189;51068890;54770480,<NA>,5611
Rigmanden,Birgitte Wulff,Bog,voksenmaterialer,skønlitteratur,62723971,<NA>,2814
Lone Star,Mathilde Walter Clark,Bog,voksenmaterialer,skønlitteratur,54300662;46048105;61436324;99122354972705763;99123857817705763,<NA>,2831
Når gode mennesker handler ondt,Dorthe Birkmose,Bog,"fagligt niveau,voksenmaterialer",etik. metodik,50651185;99122324048705763;99122486024805763;1603043,<NA>,2849
One,Peter Schmeichel,Bog,"alment niveau,voksenmaterialer","fodbold,erindringer",61481931;52276632;134182709;61868712;45808211;52232333;99122898787605763;99122795935605763,<NA>,3033
Frida Kahlo,Isabel Sánchez Vegara,Billedbog,"førskoleniveau,folkeskoleniveau,børnematerialer",biografier af enkelte personer,53984223;22022334;25739302;46506928;50900525;24364062;22022431;52611113;62154055;54792824;45629686;45489884;99122787224405763;51692527;99123813040405763;43730037;44948931;45057259;44317524;99122359756805763;99122580266205763;41042133;99122913081905763;45499952;306706;50900622;49181779;99122971977505763;99122154626705763;883391;49181493;41772247,<NA>,3725
Jorden rundt med Katrine,Katrine Bille,Billedbog,børnematerialer,skønlitteratur,39096285,<NA>,2811
Verdens bedste ideer og et par sygt dårlige,Jacob Riising,Bog,"folkeskoleniveau,børnematerialer",teknikkens historie,48943861,<NA>,2811
Den rebelske miss Bridgerton,Julia Quinn (f. 1970),Bog,voksenmaterialer,historiske romaner,135601306,<NA>,2810
Scotland Street,Samantha Young,Bog,voksenmaterialer,skønlitteratur,47561825,<NA>,2810
Laura og Julie bliver uvenner,Liane Schneider,Billedbog,børnematerialer,skønlitteratur,53381286;99122260956205763;99122474991405763,<NA>,2812
Bo og Jo,Kirsten Ahlburg,Bog,børnematerialer,skønlitteratur,48307221,<NA>,2807
Kasper og Sofie redder en tiger,Tor Åge Bringsværd,Billedbog,børnematerialer,skønlitteratur,47468981,<NA>,2805
Max ser et lam,Marie Duedahl,Bog,børnematerialer,skønlitteratur,46145437,<NA>,2805
Fra påskeæg til juleskæg,Lotte Salling,Billedbog,børnematerialer,rim,53350879,<NA>,2803
Hvor solen græder,Puk Damsgård Andersen,Bog,"alment niveau,voksenmaterialer",syriens historie,51271017;52028507;52858488;45865215;99122779105905763,<NA>,3146
Ensomme hjerters klub,"Lotte Hammer,Søren Hammer",Bog,voksenmaterialer,"krimi,politiromaner",28905173;61959866;51519302;29342148;22219030;99122951509505763;99122982230005763;99122115389005763;99121936889705763,<NA>,3454
Med kærlig hilsen,Ulla Terkelsen,Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,erindringer",52632897;39411962;20028130;21381330;02494418;53552706;99122098447405763;99122517989805763;99122796310605763;06165729;43454811,<NA>,5628
Jeg skal tisse! siger Nora,Irene Marienborg,Billedbog,børnematerialer,skønlitteratur,46417771,<NA>,2798
Spis tarmen sund - og tab dig,Stine Junge Albrechtsen,Bog,"alment niveau,voksenmaterialer",diætmadlavning,53767117,<NA>,2798
Fuglene,Tarjei Vesaas,Bog,voksenmaterialer,skønlitteratur,53369545;04498631;01396978;52817676;50707393;61665315;06254969;99122355805705763;01396994;04352114;54248989;99122918367205763;9920655351805762;670373;99122479544405763,<NA>,3138
Kudos,Rachel Cusk,Bog,voksenmaterialer,skønlitteratur,47798027;54132344;46928806,<NA>,3118
Udenfor,Ritt Bjerregaard,Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,erindringer",47216575;29491011;28906544;38248499;47047285;26384192,<NA>,3196
Astrid Lindgrens sommerfortællinger,Astrid Lindgren,Bog,børnematerialer,skønlitteratur,38854984,<NA>,2797
Dukkeværkstedet,Elizabeth Macneal,Bog,voksenmaterialer,historiske romaner,46421604;20432241,<NA>,2816
Disse øjeblikke,Herbjørg Wassmo,Bog,voksenmaterialer,biografiske romaner,51024788;51293142,<NA>,2803
Den stumme pige,"Michael Hjorth (f. 1963-05-13),Hans Rosenfeldt",Bog,voksenmaterialer,"krimi,politiromaner",51385411;46422422;52029910;99122687015105763,<NA>,2917
Vegansk grundkøkken,Johanne Mosgaard,Bog,"alment niveau,voksenmaterialer",råkost. vegetarisk mad,47917042;99123331819005763,<NA>,2797
Britta,Emil Ellesøe Ditzel,Bog,"alment niveau,voksenmaterialer",biografier af enkelte personer,61742603;99122731496205763,<NA>,2796
Peter Pedal i legetøjsbutikken,,Billedbog,børnematerialer,sjove bøger,24638707;27426212,<NA>,2801
Død jord - rejsen til Zixo,Nicole Boyle Rødtnes,Bog,børnematerialer,science fiction,54009135,<NA>,2793
Hverdagsvegetar,Ditte Ingemann,Bog,"alment niveau,voksenmaterialer",råkost. vegetarisk mad,48677134;99123486085005763,<NA>,2795
SalatTøsens sunde fyldige salater,Mette Løvbom,Bog,"alment niveau,voksenmaterialer",særlige retter,61859292,<NA>,2792
En fars gave,Danielle Steel,Bog,voksenmaterialer,slægtsromaner,39285959,<NA>,2791
Simbas farlige rejse,Michael Kamp (f. 1974),Bog,børnematerialer,sjove bøger,47267641,<NA>,2790
Skovturen,,Billedbog,børnematerialer,skønlitteratur,27662471;135745847;27342833;07363818;22446444;99122322160405763,<NA>,3023
Noget om Grace,Anthony Doerr,Bog,voksenmaterialer,skønlitteratur,52215870;46424409;38330527,<NA>,3973
Et rige af torne og roser,Sarah J. Maas,Bog,børnematerialer,fantasy,52941393,<NA>,2787
Dinosaurbanden - halloweenfesten,Lars Mæhle,Billedbog,børnematerialer,skønlitteratur,134308907;99124247930105763,<NA>,2788
Kasper og Sofie klæder sig ud,Tor Åge Bringsværd,Billedbog,børnematerialer,skønlitteratur,53670997,<NA>,2787
Alma syr en hat,Marie Duedahl,Bog,børnematerialer,skønlitteratur,52163927,<NA>,2786
Tor og Tim på nattur,Helle Dyhr Fauerholdt,Bog,børnematerialer,skønlitteratur,28919379,<NA>,2786
Langsom livsstil,Karen Pallisgaard (f. 1980),Bog,"alment niveau,voksenmaterialer",praktisk etik i alm.,52673550,<NA>,2785
Ført bag lyset,Meredith Duran,Bog,voksenmaterialer,skønlitteratur,54916310;99122144031805763,<NA>,2785
Klara og solen,Kazuo Ishiguro,Bog,voksenmaterialer,science fiction,38714457,<NA>,2783
Til paradis,Hanya Yanagihara (f. 1974),Bog,voksenmaterialer,dystopier,62994835,<NA>,2783
Så er der krig!,Line Kyed Knudsen,Bog,børnematerialer,skønlitteratur,50973581,<NA>,2783
Dengang Annie Thorne forsvandt,C. J. Tudor,Bog,voksenmaterialer,psykologisk thriller,46199758,<NA>,2783
Sådan spiller du Fortnite,Simon Randel Søndergaard,Bog,"folkeskoleniveau,børnematerialer",computerspil,46301293,<NA>,2783
Et spor af safran,Rosanna Ley,Bog,voksenmaterialer,skønlitteratur,52639069;99122245048505763,<NA>,2784
The secret - hemmeligheden,,Bog,"alment niveau,voksenmaterialer",psykisk sundhed,26760453;99122033975805763;1177683,<NA>,2789
Mørk hævn,Stav Sherez (f. 1970),Bog,voksenmaterialer,krimi,47236975,<NA>,2780
En ko og en so,Kirsten Ahlburg,Bog,børnematerialer,skønlitteratur,52563933;99122244615405763,<NA>,2780
Farligt efterspil,Jeffrey Archer,Bog,voksenmaterialer,spænding,54115628;46616103;47090458;07035861;05517397;99122376896705763,<NA>,5122
Himmelbjørnens skov,Britt Karin Larsen (f. 1945),Bog,voksenmaterialer,slægtsromaner,52683408;47248914,<NA>,3040
"Gø nu, Po!",Lise Kloborg Pedersen,Bog,børnematerialer,skønlitteratur,38907948,<NA>,2776
Tor på ski,Helle Dyhr Fauerholdt,Bog,børnematerialer,skønlitteratur,29995338;48219292,<NA>,3645
Sund og rask med antiinflammatorisk kost,Sanna Ehdin Anandala (f. 1961),Bog,"alment niveau,voksenmaterialer",diætmadlavning,52783178,<NA>,2775
Tor og Tim ser på rav,Helle Dyhr Fauerholdt,Bog,børnematerialer,skønlitteratur,51488091,<NA>,2775
Ude,Ragnar Jónasson (f. 1976),Bog,voksenmaterialer,"psykologisk thriller,spænding",135543632;25925777;27403131;50568075;99122059193305763,<NA>,3225
Kærlighed & bølgeskvulp,L. Sherman,Bog,voksenmaterialer,skønlitteratur,39213737,<NA>,2773
De levende og de døde,Nele Neuhaus,Bog,voksenmaterialer,"krimi,politiromaner",46413342;62062894,<NA>,2895
Krageøen - et lille dyr til Pelle,Astrid Lindgren,Billedbog,børnematerialer,skønlitteratur,48431216,<NA>,2773
Den spiselige permahave,Birgit Rothmann,Bog,"alment niveau,voksenmaterialer",gartneri og havebrug,53840213;99122089259305763,<NA>,2781
Jeg lader dig gå,Clare Mackintosh,Bog,voksenmaterialer,psykologisk thriller,52263697;53046614;99121918095005763,<NA>,2832
De nye begyndelsers hjem,Suzanne Snow,Bog,voksenmaterialer,skønlitteratur,134013427;99124171825205763,<NA>,2774
Sam og Sigge og den lange rejse,Lin Hallberg,Bog,børnematerialer,skønlitteratur,51318781,<NA>,2772
Drages skøre dag,Dav Pilkey,Billedbog,børnematerialer,skønlitteratur,39323931,<NA>,2771
Five feet apart,Rachael Lippincott,Bog,"børnematerialer,voksenmaterialer",young adult,46486277;46121732;38886002,<NA>,3193
Toscana tur og retur,Åsa Hellberg,Bog,voksenmaterialer,chick lit,52666406,<NA>,2770
Seje frispark og beskidte tricks,Antoine Griezmann (f. 1991),Bog,børnematerialer,skønlitteratur,54378998,<NA>,2769
Rosa er vild med rosa,Marie Duedahl,Bog,børnematerialer,skønlitteratur,52261767,<NA>,2769
En ikke-godkendt-af-byggetilsynet træhule på 65 etager (og som derfor skal rives ned!),Andy Griffiths,Bog,børnematerialer,sjove bøger,54947763,<NA>,2768
Hæklet klassisk julepynt,"Heidi B. Johannesen,Pia H. H. Johannesen",Bog,"alment niveau,voksenmaterialer",hækling. orkis. filering,39517337;99123870693605763,<NA>,2770
Heimat,Nora Krug (f. 1977),Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,barndomserindringer,erindringer",47353831;169347;04189825;2566137,<NA>,2771
40 uger efter,Cana Buttenschøn,Bog,"alment niveau,voksenmaterialer",familiesociologi,53470025;99122555942205763,<NA>,2770
Filmholdet,Danielle Steel,Bog,voksenmaterialer,skønlitteratur,48709591,<NA>,2766
Den store bog om superkræfter,Susanna Isern,Billedbog,børnematerialer,skønlitteratur,47463041,<NA>,2765
Jeg skal gøre dig så lykkelig,Anne B. Ragde,Bog,voksenmaterialer,skønlitteratur,29551480;50678725,<NA>,2809
Fikkedik & Falderina,Marianne Iben Hansen,Billedbog,børnematerialer,"remser,rim,sjove bøger",52702828,<NA>,2764
Læseren i morgentoget,Jean-Paul Didierlaurent,Bog,voksenmaterialer,skønlitteratur,52330548;46062833;99122413419805763,<NA>,2927
Eventyrbogen,,Bog,børnematerialer,"eventyr, historier og fabler,eventyr",51288572;51470842;24483851;38353233;06911439;22297988;07292953;99122722481105763;99122337398905763,<NA>,4547
Sommergæsten,Anna Sundbeck Klav,Bog,voksenmaterialer,skønlitteratur,62656212,<NA>,2763
Lad mig tage din hånd,Tove Alsterdal,Bog,voksenmaterialer,krimi,51614860,<NA>,2762
Stjålne penge varer ikke længe,Jeffrey Archer,Bog,voksenmaterialer,"humor,spænding",54116039;06926061;99122911750205763,<NA>,2787
En sidste melodi,Lisa Genova,Bog,voksenmaterialer,skønlitteratur,54463200,<NA>,2762
Toy story 4,,Billedbog,børnematerialer,skønlitteratur,46952197;47361672;61344675,<NA>,3607
Barndom på landet,Helle Juhl,Bog,"alment niveau,voksenmaterialer","dagligliv på landet,barndomserindringer,erindringer",48140114;48859763,<NA>,2925
Op på det rigtige toilet,Anita Bijsterbosch,Billedbog,børnematerialer,løft og kig,38689827;99123739876405763,<NA>,2763
Snebjørnehjemmet,Rosie Banks,Bog,børnematerialer,eventyrlige fortællinger,52165172,<NA>,2761
Liva og Louis holder halloween,Ruth Wielockx,Billedbog,børnematerialer,skønlitteratur,54249837,<NA>,2759
Find Dory,,Billedbog,børnematerialer,skønlitteratur,53016820,<NA>,2759
På kanten af evigheden,Ken Follett,Bog,voksenmaterialer,skønlitteratur,51257154;52384982;51926722;99122764227505763;99122734425405763,<NA>,2853
"Jørgen Pingvin bygger en hund, der hedder Arne",Sabine Lemire,Billedbog,børnematerialer,skønlitteratur,62566086,<NA>,2757
